序号,食物名称,食物热量,食物营养信息链接
105,荷包蛋（油煎），又叫荷包蛋、煎蛋、煎荷包蛋、煎鸡蛋,热量：199 大卡(每100克),http://www.boohee.com/shiwu/hebaodan_youjian
106,咸鸭蛋，又叫盐蛋、腌蛋、味蛋,热量：190 大卡(每100克),http://www.boohee.com/shiwu/xianyadan
107,猪肉(肥瘦)，又叫豕肉、彘肉,热量：395 大卡(每100克),http://www.boohee.com/shiwu/zhurou_feishou
108,瓦罐鸡汤（含料）,热量：190 大卡(每100克),http://www.boohee.com/shiwu/waguanjitang_rou
109,瓦罐鸡汤（无料）,热量：27 大卡(每100克),http://www.boohee.com/shiwu/waguanjitang_tang
110,猪小排（良杂猪）,热量：351 大卡(每100克),http://www.boohee.com/shiwu/zhuxiaopai_liangzazhu
111,鸡蛋，又叫鸡子、鸡卵、蛋,热量：144 大卡(每100克),http://www.boohee.com/shiwu/jidan_junzhi
112,猪小排，又叫排骨、猪排,热量：278 大卡(每100克),http://www.boohee.com/shiwu/zhuxiaopai
113,鸡（土鸡，家养),热量：124 大卡(每100克),http://www.boohee.com/shiwu/ji_tuji_jiayang
114,鸡（母鸡，一年内）,热量：256 大卡(每100克),http://www.boohee.com/shiwu/muji_yiniannei
115,鸡（肉鸡，肥）,热量：389 大卡(每100克),http://www.boohee.com/shiwu/rouji_fei
116,鸭肉，又叫鸭子、鹜肉、家凫肉,热量：240 大卡(每100克),http://www.boohee.com/shiwu/ya_junzhi
117,猪蹄，又叫猪脚、猪手、猪蹄爪,热量：260 大卡(每100克),http://www.boohee.com/shiwu/zhuti
118,螃蟹（河蟹），又叫螃蟹、毛蟹、稻蟹、中华绒螯蟹、横行介士、无肠公子,热量：103 大卡(每100克),http://www.boohee.com/shiwu/hexie
119,猪肉（瘦），又叫猪精肉，瘦肉,热量：143 大卡(每100克),http://www.boohee.com/shiwu/zhurou_shou
120,鸡蛋（煮），又叫水煮蛋，白煮蛋，煮蛋，煮鸡蛋,热量：151 大卡(每100克),http://www.boohee.com/shiwu/jidan_zhu
121,鸡腿，又叫鸡腿肉,热量：181 大卡(每100克),http://www.boohee.com/shiwu/jitui
122,酱牛肉,热量：246 大卡(每100克),http://www.boohee.com/shiwu/jiangniurou
123,鱼丸,热量：107 大卡(每100克),http://www.boohee.com/shiwu/yuwan
124,香肠，又叫腊肠、南肠、灌肠,热量：508 大卡(每100克),http://www.boohee.com/shiwu/xiangchang
125,牛肉（瘦）,热量：106 大卡(每100克),http://www.boohee.com/shiwu/niurou_shou
126,肯德基 吮指原味鸡,热量：346 大卡(每100克),http://www.boohee.com/shiwu/kendejishunzhiyuanweiji
127,鲫鱼，又叫河鲫、鲋鱼、喜头、鲫瓜子、喜头鱼、海附鱼、童子鲫、鲭,热量：108 大卡(每100克),http://www.boohee.com/shiwu/jiyu
128,火腿，又叫兰熏、熏蹄、南腿,热量：330 大卡(每100克),http://www.boohee.com/shiwu/huotui
129,牛肉干，又叫牛干巴,热量：550 大卡(每100克),http://www.boohee.com/shiwu/niurougan
130,咸鸭蛋（煮）,热量：177 大卡(每100克),http://www.boohee.com/shiwu/xianyadan_zhu
131,松花蛋(鸡蛋)，又叫皮蛋、变蛋、彩蛋、碱蛋、泥蛋,热量：178 大卡(每100克),http://www.boohee.com/shiwu/songhuadan_jidan
132,猪肉(奶脯)，又叫软五花、奶脯、五花肉,热量：349 大卡(每100克),http://www.boohee.com/shiwu/zhurou_naifu
133,猪大排，又叫猪排,热量：264 大卡(每100克),http://www.boohee.com/shiwu/zhudapai
134,牛肉(肥瘦)，又叫肥牛,热量：125 大卡(每100克),http://www.boohee.com/shiwu/niurou_feishou
135,牛肉(里脊)，又叫牛里脊,热量：107 大卡(每100克),http://www.boohee.com/shiwu/niurou_liji
136,松花蛋(鸭蛋)，又叫皮蛋,热量：171 大卡(每100克),http://www.boohee.com/shiwu/songhuadan_yadan
137,草鱼，又叫鲩鱼、混子、草鲩、草包鱼、草根鱼、草青、白鲩,热量：113 大卡(每100克),http://www.boohee.com/shiwu/caoyu
138,鸡蛋(土鸡),热量：138 大卡(每100克),http://www.boohee.com/shiwu/jidan_tuji
139,鸡蛋（白皮）,热量：138 大卡(每100克),http://www.boohee.com/shiwu/jidan_baipi
140,鸡蛋(红皮),热量：156 大卡(每100克),http://www.boohee.com/shiwu/jidan_hongpi
141,鸡翅，又叫鸡翼、大转弯,热量：194 大卡(每100克),http://www.boohee.com/shiwu/jichi
142,烤鸡,热量：240 大卡(每100克),http://www.boohee.com/shiwu/kaoji
143,热狗肠,热量：307 大卡(每100克),http://www.boohee.com/shiwu/regouchang
144,鹌鹑蛋，又叫鹑鸟蛋、鹌鹑卵,热量：160 大卡(每100克),http://www.boohee.com/shiwu/anchundan
145,鲤鱼，又叫龙门鱼、鲤拐子、赤鲤、黄鲤、白鲤、赖鲤,热量：109 大卡(每100克),http://www.boohee.com/shiwu/liyu
146,明虾,热量：85 大卡(每100克),http://www.boohee.com/shiwu/mingxia
147,北京烤鸭,热量：436 大卡(每100克),http://www.boohee.com/shiwu/beijingkaoya
148,鱼片干,热量：303 大卡(每100克),http://www.boohee.com/shiwu/yupiangan
149,鸡爪，又叫鸡掌、凤爪、鸡脚、凤足,热量：254 大卡(每100克),http://www.boohee.com/shiwu/jizhua
150,鸡蛋黄，又叫蛋黄,热量：328 大卡(每100克),http://www.boohee.com/shiwu/jidanhuang
151,无油煎蛋，又叫煎蛋,热量：164 大卡(每100克),http://www.boohee.com/shiwu/hebaodan_zhu
152,叉烧肉,热量：279 大卡(每100克),http://www.boohee.com/shiwu/chashaorou
153,广东香肠,热量：433 大卡(每100克),http://www.boohee.com/shiwu/guangdongxiangchang
154,肯德基 新奥尔良烤翅,热量：240 大卡(每100克),http://www.boohee.com/shiwu/xinaoerliangjichi_kendeji
155,黄鱼(小黄花鱼)，又叫小黄花鱼、黄花鱼、花鱼、小鲜,热量：99 大卡(每100克),http://www.boohee.com/shiwu/huangyu_xiaohuanghuayu
156,青鱼，又叫青皮鱼、青鳞鱼、青混、鲭、黑鲩、螺狮青,热量：118 大卡(每100克),http://www.boohee.com/shiwu/qingyu
157,鸭蛋，又叫鸭卵,热量：180 大卡(每100克),http://www.boohee.com/shiwu/yadan
158,猪肉松，又叫肉松,热量：396 大卡(每100克),http://www.boohee.com/shiwu/zhurousong_junzhi
159,猪肉(里脊)，又叫梅肉、里脊肉,热量：155 大卡(每100克),http://www.boohee.com/shiwu/zhurou_liji
160,麦当劳 麦香鱼,热量：253 大卡(每100克),http://www.boohee.com/shiwu/maidanglaomaixiangyu
161,羊肉(肥瘦)，又叫山羊肉、绵羊肉、羊腰窝肉、羊腩,热量：203 大卡(每100克),http://www.boohee.com/shiwu/yangrou_feishou
162,蛤蜊，又叫花甲,热量：45 大卡(每100克),http://www.boohee.com/shiwu/huageli
163,墨鱼丸,热量：128 大卡(每100克),http://www.boohee.com/shiwu/moyuwan
164,鱿鱼(水浸),热量：75 大卡(每100克),http://www.boohee.com/shiwu/youyu_shuijin
165,黄鱼(大黄花鱼)，又叫大黄花鱼、黄鱼、大鲜、大王鱼、金龙、石首鱼、石头鱼,热量：97 大卡(每100克),http://www.boohee.com/shiwu/huangyu_dahuanghuayu
